codigo_aeronave;codigo_ocorrencia;matricula;codigo_operador;equipamento;fabricante;modelo;tipo_motor;quantidade_motores;peso_maximo_decolagem;quantidade_assentos;ano_fabricacao;pais_registro;categoria_registro;categoria_aviacao;origem_voo;destino_voo;fase_operacao;tipo_operacao;nivel_dano;quantidade_fatalidades;dia_extracao
9205;28133;PPGYH;170;AVI«O;PIPER AIRCRAFT;PA-18;PIST«O;1;680;2;1951;BRASIL;PRI;INSTRUÄ«O;****;****;INDETERMINADA;INSTRUÄ«O;***;0;30/07/2016
9208;28155;PRJMS;308;AVI«O;AEROMOT;AMT-600;PIST«O;1;900;2;2005;BRASIL;PRI;INSTRUÄ«O;****;****;DECOLAGEM;INSTRUÄ«O;LEVE;0;30/07/2016
9209;28173;PTUCH;3992;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;PIST«O;1;1800;1;1986;BRASIL;TPP;PARTICULAR;****;****;NAVEGAÄ«O A BAIXA ALTURA;PRIVADA;DESTRU÷DA;1;30/07/2016
9210;28193;PTOXF;102;AVI«O;AIR TRACTOR;AT-502;TURBOêLICE;1;3629;1;1991;BRASIL;SAE-AG;AGR÷COLA;****;****;ESPECIALIZADA;AGR÷COLA;DESTRU÷DA;1;30/07/2016
9212;45415;PROEA;3896;HELIC‡PTERO;ROBINSON HELICOPTER;R22 BETA;PIST«O;1;621;2;2005;BRASIL;PRI;INSTRUÄ«O;SBJR;****;MANOBRA;INSTRUÄ«O;SUBSTANCIAL;0;30/07/2016
9214;28236;PTUFM;437;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;PIST«O;1;1800;1;1990;BRASIL;SAE-AG;AGR÷COLA;****;****;INDETERMINADA;AGR÷COLA;***;0;30/07/2016
9215;28256;PTUKG;4531;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-202;PIST«O;1;1800;1;1997;BRASIL;SAE;ESPECIALIZADA;****;****;ESPECIALIZADA;ESPECIALIZADA;SUBSTANCIAL;0;30/07/2016
9216;28335;PRJCR;3992;AVI«O;BEECH AIRCRAFT;A36;PIST«O;1;1633;6;1986;BRASIL;TPP;PARTICULAR;SBSR;SBLO;APROXIMAÄ«O FINAL;PRIVADA;DESTRU÷DA;2;30/07/2016
9218;48137;PRMMS;3992;AVI«O;RAYTHEON AIRCRAFT;400A;JATO;2;7318;11;2006;BRASIL;TPP;PARTICULAR;SSAP;SBSP;CRUZEIRO;PRIVADA;NENHUM;1;30/07/2016
9218;28375;PRMMS;3259;AVI«O;RAYTHEON AIRCRAFT;400A;JATO;2;7318;11;2006;BRASIL;TPX;TµXI AêREO;SSAP;SBSP;DECOLAGEM;TµXI AêREO;LEVE;0;30/07/2016
9219;28376;PTGYW;3737;AVI«O;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;PIST«O;1;1800;1;1983;BRASIL;SAE-AG;AGR÷COLA;****;****;NAVEGAÄ«O A BAIXA ALTURA;AGR÷COLA;DESTRU÷DA;2;30/07/2016
9220;28377;PTDOJ;3992;AVI«O;CESSNA AIRCRAFT;182N;PIST«O;1;1338;4;1970;BRASIL;TPP;PARTICULAR;SBIZ;SIME;INDETERMINADA;PRIVADA;DESTRU÷DA;3;30/07/2016
